GeneName;ID;baseMean;log2FC;pval;padj
69;ENSG00000106153;22.247486;1.7615044;1.1929255648020398e-109;1.8795205009880996e-107
71;ENSG00000223532;22.06246;3.0780897;7.25300972712077e-108;1.1219746683335201e-105
72;ENSG00000197756;22.034994;2.4220948;1.3306212157860397e-107;2.03980636106444e-105
73;ENSG00000255302;21.974922;2.4956348;5.0041518541105996e-107;7.53545557075628e-105
74;ENSG00000066923;21.77033;3.2592845;4.4342535771683995e-105;6.618706918341889e-103
75;ENSG00000163682;21.71329;2.243691;1.53655142199827e-104;2.27356165188891e-102
76;ENSG00000174748;21.369463;1.9332495;2.5707770761925798e-101;3.7071476888553296e-99
77;ENSG00000112306;21.158047;1.9532119;2.32662687238406e-99;3.2718911454948e-97
78;ENSG00000164919;20.703419;1.8100615;3.226470595891769e-95;4.42755029513664e-93
79;ENSG00000007312;20.628628;2.2520828;1.5189769826370797e-94;2.0677529869242e-92
80;ENSG00000111775;20.615679;1.8800179;1.9851985656001496e-94;2.6809633962104898e-92
81;ENSG00000129562;20.547733;2.6243174;8.064040460786759e-94;1.08045442898226e-91
82;ENSG00000130755;20.481363;2.2340724;3.1570313903635102e-93;4.19687860456449e-91
83;ENSG00000226260;20.446918;1.168787;6.39910794739112e-93;8.440869832000559e-91
84;ENSG00000135486;20.283617;1.1710135;1.79435299322712e-91;2.3486700409809696e-89
85;ENSG00000206237;20.073677;2.9342506;1.2537452777750798e-89;1.6161916398955198e-87
86;ENSG00000127540;19.876146;1.9881697;6.54726329341504e-88;8.3765588120865e-86
87;ENSG00000177600;19.840105;2.2636218;1.34178406935707e-87;1.70386550180447e-85
88;ENSG00000099622;19.803844;1.6788539;2.75816294600248e-87;3.47651116216135e-85
89;ENSG00000186010;19.738287;1.9748701;1.0114762550048e-86;1.26553529082071e-84
90;ENSG00000149806;19.555754;2.0841706;3.68524125065854e-85;4.47914750865755e-83
91;ENSG00000215845;19.520315;2.2042675;7.37818923940058e-85;8.90406156720853e-83
92;ENSG00000133112;19.484415;1.5626243;1.4886986582360298e-84;1.78392227947495e-82
94;ENSG00000120690;19.385763;1.7342354;1.0178482180922099e-83;1.18628118349706e-81
95;ENSG00000136942;19.24666;2.2686234;1.50559408135677e-82;1.7206546172551598e-80
96;ENSG00000164104;19.246624;2.75915;1.5066851079632e-82;1.7206546172551598e-80
97;ENSG00000188186;19.179132;2.124114;5.52943464123112e-82;6.27259065701258e-80
